id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
4361868,Enviro Sci and Sustainability,,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361869,Accounting,,4/30/2021,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361870,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361871,"Cell, Molecular, Microbial Bio",,5/1/2028,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,,,,,,,,,,,Continuing Education,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361872,tDPT Masters,,5/1/2028,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361873,Public Health,,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361874,Communication Studies,,12/17/2021,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF IDAHO,,,,,,,,,,,,
4361875,Social Work,,5/1/2026,Bachelors,College of Health,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,,,,,,,,,,,,
4361876,Neuroscience~Psychology,Neuroscience,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MARY,,,,,,,,,,,,
4361877,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/13/2022,,College of Health,Female,Native American/Alaskan Native,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361878,tDPT Masters,,5/1/2028,,College of Health,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361879,Biology,,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361880,Psychology,,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,5/1/2022,submitted,Working,Montana Technical Solutions,Computer Networking,Organization,Part-Time,Customer/Technical Support,Customer Service Correspondence Clerk,Yes,,,,,,,Hourly Wage,,,No opinion,None of the above,,
4361881,Principal Leadership K-12,,5/1/2026,Bachelors,College of Education,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361882,Enviro Sci Nat Res Journalism,,5/1/2026,Masters,College of the Arts and Media,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361883,Accounting,,4/30/2021,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361884,Marketing,,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361885,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361886,Political Science & Government,,12/1/2021,Bachelors,,Female,Asian/Asian American,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361887,Public Administration,Public Health,5/1/2026,Masters,School of Law,Female,,22-Aug,7/1/2022,submitted,Working,Pennsylvania State University,Higher Education,Organization,Full-Time,Administration,Director of Penn State Sokolov Miller Family Financial and Life Skills Center,Yes,,,,,,66000,Annual Salary,10000,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
4361888,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361889,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361890,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361891,History,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361892,Business Administration,,5/1/2025,Associates,College of Business,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361893,Commun Sci & Disorders,,5/13/2022,Certificate,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
4361894,tDPT Masters,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361895,Speech Language Pathology,,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361896,Counseling,,5/7/2022,Masters,College of Education,,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361897,Counselor Education,,5/1/2026,Masters,College of Education,Female,,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361898,Sociology~Forensic Studies,Sociology,5/13/2022,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,crimin,,,,,,,No opinion,None of the above,,
4361899,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361900,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361901,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361902,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361903,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361904,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,Doctorate,College of Health,Male,Asian/Asian American,22-Aug,8/1/2022,submitted,Working,Injury care center,Healthcare,Organization,Full-Time,Healthcare Services,Physical therapist,Yes,,,,,,90000,Annual Salary,0,0,This position fails to meet my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361905,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361906,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361907,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361908,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361909,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361910,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361911,tDPT Bachelors,,5/1/2028,,College of Health,Female,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361912,tDPT Bachelors,,5/1/2028,Doctorate,College of Health,Male,Black or African American,22-Aug,7/1/2022,submitted,Still Looking,"I.B.B. Specialist Hospital, Minna",Healthcare,,,,,,,,,Employment,,,,,,This position fails to meet my expectations,None of the above,,
4361913,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361914,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361915,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361916,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Female,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361917,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361918,tDPT Masters,,5/1/2028,Doctorate,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Working,Cleveland Clinic,Healthcare,Organization,Full-Time,Healthcare Services,Physical Therapist,Yes,,,,,,,,,,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361919,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361920,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361921,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361922,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361923,tDPT Bachelors,,5/1/2028,Doctorate,College of Health,Male,Asian/Asian American,22-Aug,7/1/2022,submitted,Working,Core Physical Therapy,Healthcare,Organization,Full-Time,Other,Geriatric Physical Therapist,Yes,,,,,,,,,,This position meets my expectations,Study abroad or study away program,Neutral,Study abroad or study away program
4361924,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361925,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361926,Speech Language Pathology,,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361927,Fine Arts,,5/1/2026,Bachelors,College of the Arts and Media,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,GRAND CANYON UNIVERSITY,,,,,,,,,,,,
4361928,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361929,tDPT Masters,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361930,Geography,Geographic Information Systems,12/17/2021,Certificate,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361931,Public Administration,,5/1/2026,Masters,School of Law,Male,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Central Valley Fire District,"Government - Local, State & Federal",Organization,Full-Time,Other,Fire Marshal,,,,,,,,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361932,Geosciences,,5/1/2026,,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361933,Commun Sci & Disorders,,5/13/2022,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361934,Resource Conservation,,5/1/2026,Masters,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Center for Large Landscape Conservation,NGO,Organization,Full-Time,Environmental / Sustainability Mgmt,International Connectivity Program Coordinator,Yes,,,,,,53000,Annual Salary,0,0,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361935,Diesel Technology,,5/1/2025,,Missoula College,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361936,Forestry,,5/1/2026,Masters,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361937,Integrative Physiology,,5/13/2022,,College of Health,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361938,Business Administration-Exter,,5/1/2026,,College of Business,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361939,Forestry,,5/1/2026,Masters,College of Forestry & Conserv,Male,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361940,Speech Language Pathology,,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
4361941,Speech Language Pathology,,5/1/2026,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361942,Fine Arts,,5/1/2026,Bachelors,College of the Arts and Media,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361943,Social Work,Medical Assisting,5/1/2025,Associates,College of Health,Female,Native American/Alaskan Native,22-Aug,12/1/2022,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Social Work,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
4361944,Speech Language Pathology,,5/1/2026,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361945,Management & Entrepreneurship,,5/1/2025,,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361946,Psychology~Pre-Prof-Phys Therapy,Psychology,5/13/2022,,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361947,Media Arts,,5/12/2023,,College of the Arts and Media,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361948,Biology~Pre-Nursing,Biology,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,FLATHEAD VALLEY COMMUNITY COLLEGE,,,,,,,,,,,,
4361949,Speech Language Pathology,,5/1/2026,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361950,Speech Language Pathology,,5/13/2022,Masters,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361951,tDPT Bachelors,,5/1/2028,,College of Health,Female,Black or African American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361952,tDPT Bachelors,,5/1/2028,,College of Health,Female,Black or African American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361953,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361954,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361955,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,,College of Health,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361956,tDPT Bachelors,,5/1/2028,,College of Health,Female,Latino(a),22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361957,Fine Arts,,5/1/2026,Masters,College of the Arts and Media,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Working,Great Falls Public School,K-12 Education,Faculty Tenure,Full-Time,Education / Teaching / Training,Art Teacher,Yes,,,,,,58000,Annual Salary,,,This position meets my expectations,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,Learning community or other formal program in which one group of students takes two or more classes together
4361958,Speech Language Pathology,Psychology,5/12/2023,Masters,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Speech Language ,,,,,,,This position exceeds my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,None of the experiential learning activities I participated in at UM were helpful.
4361959,Accounting,,5/30/2022,Masters,University of Montana,,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361960,Integrative Physiology,,5/13/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361961,Speech Language Pathology Asst,,5/13/2022,Certificate,College of Health,Female,Latino(a),22-Aug,8/1/2022,submitted,Working,"RISE Services, Inc.",Healthcare,Organization,Full-Time,Administration,Clinical Supervisor ,Yes,,,,,,48000,Annual Salary,,,No opinion,None of the above,,
4361962,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361963,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361964,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361965,Management & Entrepreneurship,,5/12/2023,,College of Business,Male,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361966,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,Bachelors,College of Health,Male,Asian/Asian American,22-Aug,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
4361967,tDPT Masters,,5/1/2028,,College of Health,Female,,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361968,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361969,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361970,tDPT Bachelors,,5/1/2028,,College of Health,Male,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361971,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361972,tDPT Bachelors,,5/1/2028,,College of Health,Female,Asian/Asian American,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
